ItemID	ItemType	Path	Manner	Direction	Aspect	ExpectedAnswer	ItemNo	ItemText
t001	DirectionItem	-	walk	uni	impf	идут	1	Q: Что они сейчас делают? A: Сейчас они ____________ по лесной тропе.
t002	DirectionItem	-	ride	uni	impf	едет	2	Q: Что машина сейчас делает? A: Сейчас она ____________.
t003	DirectionItem	-	fly	multi	impf	летал	3	Q: Где вы провели прошлое лето? A: Я ______________ к сестре в Москву.
t004	filler	-	crawl	multi	impf	ползают	4	Q: Что черепахи сейчас делают? A: Сейчас они ____________.
t005	DirectionItem	-	swim	multi	impf	плавать	5	Q: Что вы хотите делать, когда выйдете на пенсию? A: Я хочу ___________ по просторам океана.
t006	DirectionItem	-	ride	uni	impf	едет	6	Q: Что водитель сейчас делает? A: Сейчас он _____________ на дачу.
t007	DirectionItem	-	swim	uni	impf	плыву	7	Q: Что вы сейчас делаете? A: Сейчас я __________ на юг.
t008	DirectionItem	-	crawl	uni	impf	ползёт	8	Q: Что гусеница сейчас делает? A: Сейчас она ____________.
t009	filler	-	ride	uni	impf	едут	9	Q: Что машины сейчас делают? A: Сейчас они ____________.
t010	DirectionItem	-	fly	uni	impf	летит	10	Q: Что он сейчас делает? A: Сейчас он __________ во Владивосток.
t011	filler	-	walk	uni	impf	идёт	11	Q: Что поезд сейчас делает? A: Сейчас он ____________.
t012	DirectionItem	-	swim	uni	impf	плывёт	12	Q: Что пароход сейчас делает? A: Сейчас он ____________.
t013	DirectionItem	-	walk	multi	impf	ходил	13	Q: Где был твой сын вчера? A: Вчера он _________ в школу.
t014	DirectionItem	-	run	uni	impf	бежит	14	Q: Что собака сейчас делает? A: Сейчас она ____________.
t015	DirectionItem	-	ride	multi	impf	ездила	15	Q: Что вы делали во время каникул? A: Я ____________ на своей машине по Европе.
t016	DirectionItem	-	fly	uni	impf	летит	16	Q: Что чайка сейчас делает? A: Сейчас она ____________ над водой.
t017	DirectionItem	-	swim	uni	impf	плывут	17	Q: Что дельфины сейчас делают? A: Сейчас они _______________.
t018	DirectionItem	-	run	multi	impf	бегают	18	Q: Что дети сейчас делают? A: Сейчас они _________, играя в прятки.
t019	DirectionItem	-	fly	uni	impf	летит	19	Q: Что самолёт сейчас делает? A: Сейчас он куда-то ____________.
t020	DirectionItem	-	swim	multi	impf	плавают	20	Q: Что утята сейчас делают? A: Сейчас они ____________.
t021	filler	-	-	-	impf	поднимается	21	Q: Что он сейчас делает? A: Сейчас он ____________ в гору.
t022	filler	-	swim	multi	impf	плавают	22	Q: Что лодки сейчас делают? A: Сейчас они ____________.
t023	DirectionItem	-	fly	multi	impf	летают	23	Q: Что птицы сейчас делают? A: Сейчас они ____________.
t024	DirectionItem	-	run	uni	impf	бегут	24	Q: Что женщины сейчас делают? A: Сейчас они ____________.
t032	PathItem	ob	walk	-	pf	обойти	8	Нам нужно __________ это место.
t035	PathItem	ot	walk	-	pf	отошла	11	Она __________ от края скалы.
t028	PathItem	pere	walk	-	impf	переходят	4	Они _____________ реку через каменный мост.
t037	PathItem	pod	fly	-	impf	подлетает	13	Внимание! Наш самолёт ________ к аэропорту города Сеул. Приготовьтесь к посадке.
t030	filler	pod	ride	-	impf	подъезжает	6	Осторожно! Поезд _____________ к станции.
t036	PathItem	pod	run	-	impf	подбегает	12	Папа с улыбкой смотрит на дочку, которая ___________________ к нему.
t034	PathItem	pod	swim	-	impf	подплывает	10	Пловец сейчас ______________ к стенке бассейна.
t040	filler	pod	walk	-	impf	подходит	16	Когда корабль ____________ к берегу, пассажиры обычно стоят на палубе.
t043	PathItem	pri	fly	-	pf	прилетел	19	Сегодня в 6 часов вечера самолёт _______________ в Москву.
t046	PathItem	pri	ride	-	pf	приехали	22	Добро пожаловать на экскурсию по Москве! А теперь мы ____________ в МГУ.
t042	PathItem	pri	run	-	pf	прибежал	18	Он _____________ к финишу первым.
t027	PathItem	pri	swim	-	pf	приплыли	3	Туристы ____________ к берегу на лодке.
t039	PathItem	pri	walk	-	pf	пришли	15	Сегодня мой день рождения. Друзья ________________ ко мне в гости.
t031	PathItem	pro	walk	-	pf	Пройдите	7	A: Где наша аудитория? B: _____________ по коридору 50 метров. А потом поверните налево.
t025	PathItem	u	walk	-	pf	ушёл	1	Однажды он ______________ и не вернулся.
t026	PathItem	v	fly	-	pf	влететь	2	Птица хочет ____________ в дом.
t038	PathItem	v	ride	-	impf	въезжает	14	Машина ____________ в гараж.
t044	PathItem	v	run	-	impf	вбегают	20	По звонку дети ____________ в класс.
t045	PathItem	v	swim	-	impf	вплывает	21	Лодка _____________ в пещеру.
t041	PathItem	v	walk	-	impf	входит	17	Сейчас кошка _______________ в сад.
t029	PathItem	vy	walk	-	impf	выходят	5	Они сейчас _____________ из лифта.
t033	filler	vz	fly	-	pf	взлетел	9	Самолёт только что ____________ с аэродрома.
t047	filler	za	walk	-	pf	зашёл	23	На дороге домой, он ______________ в супермаркет, чтобы купить фрукты.
