SubjectID	Group	LevelTest	Age	Gender	MonthLearn	MonthStay
K1001	Level1	19.0	27.0	M	24.0	0.0
K1002	Level1	18.0	33.0	F	48.0	0.75
K1003	Level1	18.0	20.0	F	54.0	0.0
K1004	Level1	17.0	25.0	M	36.0	0.0
K1005	Level1	17.0	36.0	M	156.0	1.0
K1006	Level1	16.0	20.0	F	24.0	0.0
K1007	Level1	16.0	20.0	F	48.0	0.0
K1008	Level1	16.0	20.0	F	18.0	0.0
K1009	Level1	16.0	19.0	F	18.0	0.0
K1010	Level1	15.0	21.0	F	14.0	0.0
K1011	Level1	15.0	23.0	M	18.0	0.0
K1012	Level1	15.0	23.0	F	20.0	0.0
K1013	Level1	14.0	20.0	M	12.0	0.0
K1014	Level1	13.0	29.0	F	84.0	6.0
K1015	Level1	12.0	22.0	M	21.0	0.0
K1016	Level1	12.0	20.0	M	18.0	0.0
K1017	Level1	12.0	20.0	M	24.0	60.0
K1018	Level1	11.0	19.0	F	20.0	0.0
K1019	Level1	9.0	22.0	F	18.0	0.0
K1020	Level1	9.0	22.0	F	20.0	0.0
K1021	Level1	5.0	20.0	F	19.0	0.0
K2001	Level2	30.0	29.0	F	72.0	0.0
K2002	Level2	29.0	33.0	F	180.0	12.0
K2003	Level2	27.0	26.0	M	72.0	12.0
K2004	Level2	27.0	33.0	F	60.0	12.0
K2005	Level2	24.0	23.0	F	120.0	48.0
K2006	Level2	24.0	29.0	F	120.0	12.0
K2007	Level2	24.0	21.0	F	20.0	0.0
K2008	Level2	23.0	24.0	M	24.0	0.0
K2009	Level2	23.0	22.0	M	20.0	0.0
K2010	Level2	23.0	19.0	M	36.0	0.0
K2011	Level2	22.0	25.0	F	60.0	4.0
K2012	Level2	22.0	28.0	M	72.0	0.0
K2013	Level2	22.0	31.0	M	60.0	0.0
K2014	Level2	22.0	22.0	F	32.0	0.0
K2015	Level2	22.0	20.0	M	20.0	0.0
K2016	Level2	21.0	34.0	F	36.0	9.0
K2017	Level2	21.0	20.0	F	20.0	0.0
K2018	Level2	21.0	22.0	M	24.0	0.0
K2019	Level2	20.0	29.0	M	48.0	12.0
K2020	Level2	20.0	29.0	F	120.0	12.0
K2021	Level2	20.0	25.0	F	96.0	12.0
K2022	Level2	32.0	40.0	F	108.0	0.0
K2023	Level2	31.0	33.0	F	216.0	0.0
K3001	Level3	NA	34.0	M	216.0	60.0
K3002	Level3	NA	50.0	M	360.0	48.0
K3003	Level3	NA	52.0	F	180.0	60.0
K3004	Level3	NA	50.0	F	120.0	48.0
K3005	Level3	NA	51.0	F	204.0	48.0
K3006	Level3	NA	32.0	M	120.0	48.0
K3007	Level3	NA	38.0	M	204.0	36.0
K3008	Level3	NA	41.0	M	204.0	60.0
K3009	Level3	NA	47.0	M	336.0	72.0
K3010	Level3	NA	26.0	M	130.0	3.0
K3011	Level3	NA	45.0	F	336.0	120.0
K3012	Level3	NA	34.0	F	120.0	48.0
K3013	Level3	NA	42.0	F	264.0	60.0
K3014	Level3	NA	50.0	M	120.0	120.0
K3015	Level3	NA	46.0	F	300.0	48.0
K3016	Level3	NA	49.0	F	379.0	60.0
K3017	Level3	NA	44.0	F	120.0	60.0
K3018	Level3	NA	28.0	F	120.0	12.0
K3019	Level3	NA	24.0	F	108.0	108.0
K3020	Level3	NA	30.0	M	36.0	12.0
K3021	Level3	NA	38.0	F	72.0	84.0
K3022	Level3	NA	25.0	F	108.0	6.0
R0001	Native	NA	45.0	F	NA	NA
R0002	Native	NA	50.0	F	NA	NA
R0003	Native	NA	34.0	M	NA	NA
R0004	Native	NA	30.0	M	NA	NA
R0005	Native	NA	49.0	F	NA	NA
R0006	Native	NA	38.0	F	NA	NA
R0007	Native	NA	34.0	M	NA	NA
R0008	Native	NA	29.0	F	NA	NA
R0009	Native	NA	49.0	F	NA	NA
R0010	Native	NA	26.0	F	NA	NA
